clip_id,frame_first,frame_last,depth_start_mm,depth_end_mm,total_frames,depth_change_mm,verified_depth_motion,verified_cat3_answer,verified_cat4_answer,expected_depth_motion,expected_cat3,expected_cat4,cat3_match,cat4_match
clip_001,frame_0000.png,frame_0149.png,1763.0,1583.0,150,-180.0,toward,A,A,toward,A,A,True,True
clip_002,frame_0000.png,frame_0149.png,433.0,790.0,150,357.0,away,B,B,away,B,B,True,True
clip_003,frame_0000.png,frame_0149.png,1515.0,919.0,150,-596.0,toward,A,A,toward,A,A,True,True
clip_004,frame_0000.png,frame_0149.png,430.0,608.0,150,178.0,away,B,B,away,B,B,True,True
clip_005,frame_0000.png,frame_0149.png,1124.0,1098.0,150,-26.0,stationary,C,C,stationary,C,D,True,False
clip_006,frame_0000.png,frame_0149.png,1106.0,1123.0,150,17.0,stationary,C,C,stationary,C,C,True,True
clip_007,frame_0000.png,frame_0149.png,1310.0,1311.0,150,1.0,stationary,C,C,toward,C,D,True,False
clip_008,frame_0000.png,frame_0149.png,1119.0,1112.0,150,-7.0,stationary,C,C,toward,C,C,True,True
clip_009,frame_0000.png,frame_0149.png,1564.0,967.0,150,-597.0,toward,A,A,toward,A,A,True,True
clip_010,frame_0000.png,frame_0149.png,516.0,695.0,150,179.0,away,B,B,away,B,B,True,True
clip_011,frame_0000.png,frame_0149.png,1469.0,1110.0,150,-359.0,toward,A,A,toward,A,A,True,True
clip_012,frame_0000.png,frame_0149.png,410.0,1005.0,150,595.0,away,B,B,away,B,B,True,True
clip_013,frame_0000.png,frame_0149.png,969.0,960.0,150,-9.0,stationary,C,C,stationary,C,D,True,False
clip_014,frame_0000.png,frame_0149.png,849.0,848.0,150,-1.0,stationary,C,C,stationary,C,C,True,True
clip_015,frame_0000.png,frame_0149.png,1481.0,885.0,150,-596.0,toward,A,A,toward,A,A,True,True
clip_016,frame_0000.png,frame_0149.png,468.0,647.0,150,179.0,away,B,B,away,B,B,True,True
clip_017,frame_0000.png,frame_0149.png,1407.0,1048.0,150,-359.0,toward,A,A,toward,A,A,True,True
clip_018,frame_0000.png,frame_0149.png,472.0,1068.0,150,596.0,away,B,B,away,B,B,True,True
clip_019,frame_0000.png,frame_0149.png,962.0,973.0,150,11.0,stationary,C,C,stationary,C,D,True,False
clip_020,frame_0000.png,frame_0149.png,1495.0,1516.0,150,21.0,stationary,C,C,stationary,C,C,True,True
clip_021,frame_0000.png,frame_0149.png,618.0,636.0,150,18.0,stationary,C,C,toward,C,D,True,False
clip_022,frame_0000.png,frame_0149.png,804.0,830.0,150,26.0,stationary,C,C,toward,C,C,True,True
clip_023,frame_0000.png,frame_0149.png,1365.0,1007.0,150,-358.0,toward,A,A,toward,A,A,True,True
clip_024,frame_0000.png,frame_0149.png,772.0,1369.0,150,597.0,away,B,B,away,B,B,True,True
clip_025,frame_0000.png,frame_0149.png,1894.0,1715.0,150,-179.0,toward,A,A,toward,A,A,True,True
clip_026,frame_0000.png,frame_0149.png,643.0,1001.0,150,358.0,away,B,B,away,B,B,True,True
clip_027,frame_0000.png,frame_0149.png,688.0,710.0,150,22.0,stationary,C,C,stationary,C,D,True,False
clip_028,frame_0000.png,frame_0149.png,1248.0,1273.0,150,25.0,stationary,C,C,stationary,C,C,True,True
clip_029,frame_0000.png,frame_0149.png,1788.0,1429.0,150,-359.0,toward,A,A,toward,A,A,True,True
clip_030,frame_0000.png,frame_0149.png,631.0,1226.0,150,595.0,away,B,B,away,B,B,True,True
clip_031,frame_0000.png,frame_0149.png,1356.0,1177.0,150,-179.0,toward,A,A,toward,A,A,True,True
clip_032,frame_0000.png,frame_0149.png,691.0,1049.0,150,358.0,away,B,B,away,B,B,True,True
clip_033,frame_0000.png,frame_0149.png,715.0,728.0,150,13.0,stationary,C,C,stationary,C,D,True,False
clip_034,frame_0000.png,frame_0149.png,1315.0,1331.0,150,16.0,stationary,C,C,stationary,C,C,True,True
clip_035,frame_0000.png,frame_0149.png,926.0,898.0,150,-28.0,stationary,C,C,toward,C,D,True,False
clip_036,frame_0000.png,frame_0149.png,710.0,732.0,150,22.0,stationary,C,C,toward,C,C,True,True
clip_037,frame_0000.png,frame_0149.png,1687.0,1508.0,150,-179.0,toward,A,A,toward,A,A,True,True
clip_038,frame_0000.png,frame_0149.png,690.0,1048.0,150,358.0,away,B,B,away,B,B,True,True
clip_039,frame_0000.png,frame_0149.png,1326.0,729.0,150,-597.0,toward,A,A,toward,A,A,True,True
clip_040,frame_0000.png,frame_0149.png,647.0,825.0,150,178.0,away,B,B,away,B,B,True,True
clip_041,frame_0000.png,frame_0149.png,1231.0,1253.0,150,22.0,stationary,C,C,stationary,C,D,True,False
clip_042,frame_0000.png,frame_0149.png,665.0,663.0,150,-2.0,stationary,C,C,stationary,C,C,True,True
clip_043,frame_0000.png,frame_0149.png,1727.0,1547.0,150,-180.0,toward,A,A,toward,A,A,True,True
clip_044,frame_0000.png,frame_0149.png,642.0,999.0,150,357.0,away,B,B,away,B,B,True,True
clip_045,frame_0000.png,frame_0149.png,1858.0,1261.0,150,-597.0,toward,A,A,toward,A,A,True,True
clip_046,frame_0000.png,frame_0149.png,476.0,655.0,150,179.0,away,B,B,away,B,B,True,True
clip_047,frame_0000.png,frame_0149.png,868.0,868.0,150,0.0,stationary,C,C,stationary,C,D,True,False
clip_048,frame_0000.png,frame_0149.png,790.0,800.0,150,10.0,stationary,C,C,stationary,C,C,True,True
clip_049,frame_0000.png,frame_0149.png,954.0,947.0,150,-7.0,stationary,C,C,toward,C,D,True,False
clip_050,frame_0000.png,frame_0149.png,1260.0,1260.5,150,0.5,stationary,C,C,toward,C,C,True,True
clip_051,frame_0000.png,frame_0149.png,1266.0,670.0,150,-596.0,toward,A,A,toward,A,A,True,True
clip_052,frame_0000.png,frame_0149.png,450.0,628.0,150,178.0,away,B,B,away,B,B,True,True
