clip_id,scene_type,object_type,description,scenario_label,speed,depth_start_mm,depth_end_mm,depth_change_mm,verified_depth_motion,depth_motion,rgb_visible,q1_text,q1_options,q1_correct,q2_text,q2_options,q2_correct,q3_text,q3_options,q3_correct,q4_text,q4_options,q4_correct,ambiguity_flag,notes,include_in_benchmark
clip_001,object,ball,ball,pure_toward,slow,1763.0,1583.0,-180.0,toward,toward,partially,In which direction does the ball move in this clip?,(A) Toward the camera | (B) Away from the camera | (C) To the left | (D) To the right,A,How would you describe the speed of the ball in this clip?,(A) Moving slowly | (B) Moving at medium speed | (C) Moving quickly | (D) Not moving,A,"By the end of the clip, is the ball closer to or farther from the camera than at the start?",(A) Closer — it moved toward the camera | (B) Farther — it moved away from the camera | (C) Same distance — no depth change | (D) Cannot determine from this video,A,"If you could measure the distance from the camera to the ball at the start and end of the clip, which statement is correct?","(A) Distance decreased — object approached | (B) Distance increased — object receded | (C) Distance stayed the same | (D) The object moved sideways only, depth unchanged",A,,,yes
clip_002,object,bottle,bottle,pure_away,medium,433.0,790.0,357.0,away,away,partially,In which direction does the bottle move in this clip?,(A) Toward the camera | (B) Away from the camera | (C) To the left | (D) To the right,B,How would you describe the speed of the bottle in this clip?,(A) Moving slowly | (B) Moving at medium speed | (C) Moving quickly | (D) Not moving,B,"By the end of the clip, is the bottle closer to or farther from the camera than at the start?",(A) Closer — it moved toward the camera | (B) Farther — it moved away from the camera | (C) Same distance — no depth change | (D) Cannot determine from this video,B,"If you could measure the distance from the camera to the bottle at the start and end of the clip, which statement is correct?","(A) Distance decreased — object approached | (B) Distance increased — object receded | (C) Distance stayed the same | (D) The object moved sideways only, depth unchanged",B,,,yes
clip_003,object,box,box,angle_toward,fast,1515.0,919.0,-596.0,toward,toward,partially,In which direction does the box move in this clip?,(A) Toward the camera | (B) Away from the camera | (C) To the left | (D) To the right,C,How would you describe the speed of the box in this clip?,(A) Moving slowly | (B) Moving at medium speed | (C) Moving quickly | (D) Not moving,C,"By the end of the clip, is the box closer to or farther from the camera than at the start?",(A) Closer — it moved toward the camera | (B) Farther — it moved away from the camera | (C) Same distance — no depth change | (D) Cannot determine from this video,A,"If you could measure the distance from the camera to the box at the start and end of the clip, which statement is correct?","(A) Distance decreased — object approached | (B) Distance increased — object receded | (C) Distance stayed the same | (D) The object moved sideways only, depth unchanged",A,,,yes
clip_004,object,book,book,angle_away,slow,430.0,608.0,178.0,away,away,partially,In which direction does the book move in this clip?,(A) Toward the camera | (B) Away from the camera | (C) To the left | (D) To the right,D,How would you describe the speed of the book in this clip?,(A) Moving slowly | (B) Moving at medium speed | (C) Moving quickly | (D) Not moving,A,"By the end of the clip, is the book closer to or farther from the camera than at the start?",(A) Closer — it moved toward the camera | (B) Farther — it moved away from the camera | (C) Same distance — no depth change | (D) Cannot determine from this video,B,"If you could measure the distance from the camera to the book at the start and end of the clip, which statement is correct?","(A) Distance decreased — object approached | (B) Distance increased — object receded | (C) Distance stayed the same | (D) The object moved sideways only, depth unchanged",B,,,yes
clip_005,object,cup,cup,pure_sideways,medium,1124.0,1098.0,-26.0,stationary,stationary,yes,In which direction does the cup move in this clip?,(A) Toward the camera | (B) Away from the camera | (C) To the left | (D) To the right,C,How would you describe the speed of the cup in this clip?,(A) Moving slowly | (B) Moving at medium speed | (C) Moving quickly | (D) Not moving,B,"By the end of the clip, is the cup closer to or farther from the camera than at the start?",(A) Closer — it moved toward the camera | (B) Farther — it moved away from the camera | (C) Same distance — no depth change | (D) Cannot determine from this video,C,"If you could measure the distance from the camera to the cup at the start and end of the clip, which statement is correct?","(A) Distance decreased — object approached | (B) Distance increased — object receded | (C) Distance stayed the same | (D) The object moved sideways only, depth unchanged",C,,,yes
clip_006,object,apple,apple,stationary,fast,1106.0,1123.0,17.0,stationary,stationary,yes,In which direction does the apple move in this clip?,(A) Toward the camera | (B) Away from the camera | (C) To the left | (D) To the right,D,How would you describe the speed of the apple in this clip?,(A) Moving slowly | (B) Moving at medium speed | (C) Moving quickly | (D) Not moving,D,"By the end of the clip, is the apple closer to or farther from the camera than at the start?",(A) Closer — it moved toward the camera | (B) Farther — it moved away from the camera | (C) Same distance — no depth change | (D) Cannot determine from this video,C,"If you could measure the distance from the camera to the apple at the start and end of the clip, which statement is correct?","(A) Distance decreased — object approached | (B) Distance increased — object receded | (C) Distance stayed the same | (D) The object moved sideways only, depth unchanged",C,,,yes
clip_007,object,toy,toy,circle,slow,1310.0,1311.0,1.0,stationary,toward,partially,In which direction does the toy move in this clip?,(A) Toward the camera | (B) Away from the camera | (C) To the left | (D) To the right,C,How would you describe the speed of the toy in this clip?,(A) Moving slowly | (B) Moving at medium speed | (C) Moving quickly | (D) Not moving,A,"By the end of the clip, is the toy closer to or farther from the camera than at the start?",(A) Closer — it moved toward the camera | (B) Farther — it moved away from the camera | (C) Same distance — no depth change | (D) Cannot determine from this video,C,"If you could measure the distance from the camera to the toy at the start and end of the clip, which statement is correct?","(A) Distance decreased — object approached | (B) Distance increased — object receded | (C) Distance stayed the same | (D) The object moved sideways only, depth unchanged",C,,,yes
clip_008,object,pen,pen,two_objects,medium,1119.0,1112.0,-7.0,stationary,toward,partially,In which direction does the pen move in this clip?,(A) Toward the camera | (B) Away from the camera | (C) To the left | (D) To the right,A,How would you describe the speed of the pen in this clip?,(A) Moving slowly | (B) Moving at medium speed | (C) Moving quickly | (D) Not moving,B,"By the end of the clip, is the pen closer to or farther from the camera than at the start?",(A) Closer — it moved toward the camera | (B) Farther — it moved away from the camera | (C) Same distance — no depth change | (D) Cannot determine from this video,C,"If you could measure the distance from the camera to the pen at the start and end of the clip, which statement is correct?","(A) Distance decreased — object approached | (B) Distance increased — object receded | (C) Distance stayed the same | (D) The object moved sideways only, depth unchanged",C,,,yes
clip_009,person,person,person in corridor,person_toward,fast,1564.0,967.0,-597.0,toward,toward,partially,In which direction does the person move in this clip?,(A) Toward the camera | (B) Away from the camera | (C) To the left | (D) To the right,A,How would you describe the speed of the person in this clip?,(A) Moving slowly | (B) Moving at medium speed | (C) Moving quickly | (D) Not moving,C,"By the end of the clip, is the person closer to or farther from the camera than at the start?",(A) Closer — it moved toward the camera | (B) Farther — it moved away from the camera | (C) Same distance — no depth change | (D) Cannot determine from this video,A,"If you could measure the distance from the camera to the person at the start and end of the clip, which statement is correct?","(A) Distance decreased — object approached | (B) Distance increased — object receded | (C) Distance stayed the same | (D) The object moved sideways only, depth unchanged",A,,,yes
clip_010,person,person,person on campus grounds,person_away,slow,516.0,695.0,179.0,away,away,partially,In which direction does the person move in this clip?,(A) Toward the camera | (B) Away from the camera | (C) To the left | (D) To the right,B,How would you describe the speed of the person in this clip?,(A) Moving slowly | (B) Moving at medium speed | (C) Moving quickly | (D) Not moving,A,"By the end of the clip, is the person closer to or farther from the camera than at the start?",(A) Closer — it moved toward the camera | (B) Farther — it moved away from the camera | (C) Same distance — no depth change | (D) Cannot determine from this video,B,"If you could measure the distance from the camera to the person at the start and end of the clip, which statement is correct?","(A) Distance decreased — object approached | (B) Distance increased — object receded | (C) Distance stayed the same | (D) The object moved sideways only, depth unchanged",B,,,yes
clip_011,person,person,person in corridor,person_angle_toward,medium,1469.0,1110.0,-359.0,toward,toward,partially,In which direction does the person move in this clip?,(A) Toward the camera | (B) Away from the camera | (C) To the left | (D) To the right,C,How would you describe the speed of the person in this clip?,(A) Moving slowly | (B) Moving at medium speed | (C) Moving quickly | (D) Not moving,B,"By the end of the clip, is the person closer to or farther from the camera than at the start?",(A) Closer — it moved toward the camera | (B) Farther — it moved away from the camera | (C) Same distance — no depth change | (D) Cannot determine from this video,A,"If you could measure the distance from the camera to the person at the start and end of the clip, which statement is correct?","(A) Distance decreased — object approached | (B) Distance increased — object receded | (C) Distance stayed the same | (D) The object moved sideways only, depth unchanged",A,,,yes
